date, reward, step
2017-02-08 11:12:49, -21, 1370
2017-02-08 11:12:51, -18, 1912
2017-02-08 11:12:51, -19, 1592
2017-02-08 11:12:53, -19, 1572
2017-02-08 11:12:53, -21, 1295
2017-02-08 11:12:55, -21, 1454
2017-02-08 11:12:57, -21, 1241
2017-02-08 11:12:58, -20, 1707
2017-02-08 11:13:02, -21, 1550
2017-02-08 11:13:04, -19, 1562
2017-02-08 11:13:05, -21, 1265
2017-02-08 11:13:06, -20, 1582
2017-02-08 11:13:07, -21, 1220
2017-02-08 11:13:07, -21, 1504
2017-02-08 11:13:09, -21, 1342
2017-02-08 11:13:09, -21, 1299
2017-02-08 11:13:11, -20, 1646
2017-02-08 11:13:11, -20, 1757
2017-02-08 11:13:15, -21, 1355
2017-02-08 11:13:16, -19, 1578
2017-02-08 11:13:19, -21, 1286
2017-02-08 11:13:20, -20, 1494
2017-02-08 11:13:20, -21, 1295
2017-02-08 11:13:21, -21, 1215
2017-02-08 11:13:26, -21, 1479
2017-02-08 11:13:27, -20, 1563
2017-02-08 11:13:27, -21, 1794
2017-02-08 11:13:27, -21, 1590
2017-02-08 11:13:32, -20, 1535
2017-02-08 11:13:32, -20, 1546
2017-02-08 11:13:32, -21, 1612
2017-02-08 11:13:32, -21, 1346
2017-02-08 11:13:32, -21, 1347
2017-02-08 11:13:32, -19, 1619
2017-02-08 11:13:33, -20, 1326
2017-02-08 11:13:35, -19, 1630
2017-02-08 11:13:37, -21, 1361
2017-02-08 11:13:37, -20, 1592
2017-02-08 11:13:39, -19, 1652
2017-02-08 11:13:39, -21, 1467
2017-02-08 11:13:39, -21, 1266
2017-02-08 11:13:39, -20, 1504
2017-02-08 11:13:44, -20, 1330
2017-02-08 11:13:46, -21, 1245
2017-02-08 11:13:47, -21, 1349
2017-02-08 11:13:48, -21, 1420
2017-02-08 11:13:48, -21, 1498
2017-02-08 11:13:51, -20, 1528
2017-02-08 11:13:52, -20, 1476
2017-02-08 11:13:54, -20, 1455
2017-02-08 11:13:54, -21, 1326
2017-02-08 11:13:57, -21, 1253
2017-02-08 11:13:57, -21, 1287
2017-02-08 11:14:00, -21, 1311
2017-02-08 11:14:02, -20, 1707
2017-02-08 11:14:04, -19, 1625
2017-02-08 11:14:05, -19, 1593
2017-02-08 11:14:06, -21, 1322
2017-02-08 11:14:08, -21, 1620
2017-02-08 11:14:09, -21, 1236
2017-02-08 11:14:10, -20, 1437
2017-02-08 11:14:13, -20, 1572
2017-02-08 11:14:14, -20, 1550
2017-02-08 11:14:15, -21, 1298
2017-02-08 11:14:15, -20, 1439
2017-02-08 11:14:15, -20, 1446
2017-02-08 11:14:15, -21, 1264
2017-02-08 11:14:16, -20, 1466
2017-02-08 11:14:17, -21, 1302
2017-02-08 11:14:17, -20, 1496
2017-02-08 11:14:18, -21, 1511
2017-02-08 11:14:19, -21, 1306
2017-02-08 11:14:20, -20, 1376
2017-02-08 11:14:20, -21, 1598
2017-02-08 11:14:21, -20, 1422
2017-02-08 11:14:26, -21, 1292
2017-02-08 11:14:31, -20, 1536
2017-02-08 11:14:31, -21, 1414
2017-02-08 11:14:34, -21, 1510
2017-02-08 11:14:34, -21, 1329
2017-02-08 11:14:36, -17, 1882
2017-02-08 11:14:37, -21, 1310
2017-02-08 11:14:37, -21, 1292
2017-02-08 11:14:41, -20, 1794
2017-02-08 11:14:42, -21, 1364
2017-02-08 11:14:43, -19, 1679
2017-02-08 11:14:43, -19, 1701
2017-02-08 11:14:44, -19, 1672
2017-02-08 11:14:46, -19, 1625
2017-02-08 11:14:47, -21, 1289
2017-02-08 11:14:50, -20, 1476
2017-02-08 11:14:52, -19, 1667
2017-02-08 11:14:53, -21, 1263
2017-02-08 11:14:54, -21, 1211
2017-02-08 11:14:55, -21, 1358
2017-02-08 11:14:55, -20, 1526
2017-02-08 11:14:55, -21, 1370
2017-02-08 11:14:56, -21, 1312
2017-02-08 11:14:57, -21, 1360
2017-02-08 11:14:58, -21, 1239
2017-02-08 11:14:58, -21, 1371
2017-02-08 11:14:59, -18, 1758
2017-02-08 11:15:01, -20, 1430
2017-02-08 11:15:04, -20, 1586
2017-02-08 11:15:05, -21, 1461
2017-02-08 11:15:06, -21, 1661
2017-02-08 11:15:08, -20, 1628
2017-02-08 11:15:10, -18, 2183
2017-02-08 11:15:11, -20, 1512
2017-02-08 11:15:11, -17, 2037
2017-02-08 11:15:11, -19, 1760
2017-02-08 11:15:13, -21, 1302
2017-02-08 11:15:16, -21, 1365
2017-02-08 11:15:18, -20, 1613
2017-02-08 11:15:19, -20, 1385
2017-02-08 11:15:19, -20, 1618
2017-02-08 11:15:24, -21, 1401
2017-02-08 11:15:26, -20, 1763
2017-02-08 11:15:27, -21, 1269
2017-02-08 11:15:28, -20, 1577
2017-02-08 11:15:28, -21, 1416
2017-02-08 11:15:29, -21, 1266
2017-02-08 11:15:30, -18, 1630
2017-02-08 11:15:31, -20, 1535
2017-02-08 11:15:32, -21, 1274
2017-02-08 11:15:33, -20, 1364
2017-02-08 11:15:37, -19, 1792
2017-02-08 11:15:37, -21, 1317
2017-02-08 11:15:37, -21, 1211
2017-02-08 11:15:38, -20, 1499
2017-02-08 11:15:41, -21, 1482
2017-02-08 11:15:42, -21, 1322
2017-02-08 11:15:42, -19, 2010
2017-02-08 11:15:42, -19, 1578
2017-02-08 11:15:42, -19, 1685
2017-02-08 11:15:43, -21, 1286
2017-02-08 11:15:45, -20, 1604
2017-02-08 11:15:51, -21, 1494
2017-02-08 11:15:52, -20, 1431
2017-02-08 11:15:52, -20, 1648
